LS Appeal,,,,,LS Appeal: Action Success Appeal,,,,,Video Appeal - Safety,,,,,Video Appeal - Safety,,,,,Video Appeal - Ecommerce,,,,,,
Week,daily_live_sessions enqueue_time, queue_name, total_inflow_live,,Week,end_qc_time,queue_name,sum total_approve_appeal_queue,,Week,No,Yes,Grand Total,,Month,No,Yes,Grand Total,,week_num,Total Apeal,Success Appeal (Y),,Month,COUNTA of video_id,Success Appeal (Y)
14,2-Apr,Livestream Appeal Queue - VN,68,,9,3/1/2026,Livestream Appeal Queue - VN,9,,2,209,3,212,,1,967,28,995,,16,382,69,18.06%,4,1692,285
21,18-May,Livestream Appeal Queue - VN,67,,10,3/2/2026,Livestream Appeal Queue - VN,5,,3,287,5,292,,2,556,32,588,,17,360,35,9.72%,5,1175,39
20,12-May,Livestream Appeal Queue - VN,94,,10,3/3/2026,Livestream Appeal Queue - VN,11,,4,293,12,305,,3,773,34,807,,18,330,10,3.03%,12,0,0
15,7-Apr,Livestream Appeal Queue - VN,74,,10,3/4/2026,Livestream Appeal Queue - VN,14,,5,203,9,212,,4,1110,33,1143,,19,365,17,4.66%,,,0
16,15-Apr,Livestream Appeal Queue - VN,70,,10,3/5/2026,Livestream Appeal Queue - VN,16,,6,222,15,237,,5,937,54,991,,20,252,4,1.59%,,,0
12,22-Mar,Livestream Appeal Queue - VN,56,,10,3/6/2026,Livestream Appeal Queue - VN,13,,7,97,5,102,,6,244,6,250,,21,229,10,4.37%,,,0
18,30-Apr,Livestream Appeal Queue - VN,44,,10,3/7/2026,Livestream Appeal Queue - VN,10,,8,44,,44,,,,,,,22,206,6,2.91%,,,0
12,18-Mar,Livestream Appeal Queue - VN,61,,10,3/8/2026,Livestream Appeal Queue - VN,11,,9,211,12,223,,,,,,,23,187,3,1.60%,,,0
22,28-May,Livestream Appeal Queue - VN,66,,11,3/9/2026,Livestream Appeal Queue - VN,9,,10,53,16,69,,,,,,,24,54,0,,,,0
23,3-Jun,Livestream Appeal Queue - VN,53,,11,3/10/2026,Livestream Appeal Queue - VN,14,,11,214,4,218,,,,,,,,,,,,,
19,7-May,Livestream Appeal Queue - VN,43,,11,3/11/2026,Livestream Appeal Queue - VN,14,,12,215,6,221,,,,,,,,,,,,,
24,9-Jun,Livestream Appeal Queue - VN,59,,11,3/12/2026,Livestream Appeal Queue - VN,15,,13,156,6,162,,,,,,,,,,,,,
19,5-May,Livestream Appeal Queue - VN,72,,11,3/13/2026,Livestream Appeal Queue - VN,6,,14,183,5,188,,,,,,,,,,,,,
21,22-May,Livestream Appeal Queue - VN,85,,11,3/14/2026,Livestream Appeal Queue - VN,8,,15,235,8,243,,,,,,,,,,,,,
16,17-Apr,Livestream Appeal Queue - VN,72,,11,3/15/2026,Livestream Appeal Queue - VN,13,,16,319,7,326,,,,,,,,,,,,,
15,11-Apr,Livestream Appeal Queue - VN,77,,12,3/16/2026,Livestream Appeal Queue - VN,7,,17,298,10,308,,,,,,,,,,,,,
17,24-Apr,Livestream Appeal Queue - VN,117,,12,3/17/2026,Livestream Appeal Queue - VN,4,,18,229,9,238,,,,,,,,,,,,,
13,27-Mar,Livestream Appeal Queue - VN,72,,12,3/18/2026,Livestream Appeal Queue - VN,2,,19,207,13,220,,,,,,,,,,,,,
18,29-Apr,Livestream Appeal Queue - VN,65,,12,3/19/2026,Livestream Appeal Queue - VN,11,,20,230,9,239,,,,,,,,,,,,,
14,3-Apr,Livestream Appeal Queue - VN,85,,12,3/20/2026,Livestream Appeal Queue - VN,6,,21,199,15,214,,,,,,,,,,,,,
17,26-Apr,Livestream Appeal Queue - VN,56,,12,3/21/2026,Livestream Appeal Queue - VN,10,,22,239,12,251,,,,,,,,,,,,,
19,8-May,Livestream Appeal Queue - VN,61,,12,3/22/2026,Livestream Appeal Queue - VN,7,,23,205,5,210,,,,,,,,,,,,,
17,22-Apr,Livestream Appeal Queue - VN,97,,13,3/23/2026,Livestream Appeal Queue - VN,7,,24,39,1,40,,,,,,,,,,,,,
12,19-Mar,Livestream Appeal Queue - VN,67,,13,3/24/2026,Livestream Appeal Queue - VN,11,,,,,,,,,,,,,,,,,,
22,25-May,Livestream Appeal Queue - VN,63,,13,3/25/2026,Livestream Appeal Queue - VN,11,,,,,,,,,,,,,,,,,,
15,12-Apr,Livestream Appeal Queue - VN,75,,13,3/26/2026,Livestream Appeal Queue - VN,1,,,,,,,,,,,,,,,,,,
15,8-Apr,Livestream Appeal Queue - VN,117,,13,3/27/2026,Livestream Appeal Queue - VN,8,,,,,,,,,,,,,,,,,,
22,27-May,Livestream Appeal Queue - VN,75,,13,3/28/2026,Livestream Appeal Queue - VN,6,,,,,,,,,,,,,,,,,,
18,27-Apr,Livestream Appeal Queue - VN,66,,13,3/29/2026,Livestream Appeal Queue - VN,3,,,,,,,,,,,,,,,,,,
17,21-Apr,Livestream Appeal Queue - VN,140,,14,3/30/2026,Livestream Appeal Queue - VN,4,,,,,,,,,,,,,,,,,,
