Listing,,,,Listing,,,,Listing,,,,Listing,,,,Livestream,,,,Livestream,,,,Livestream,,,,Livestream,,,,Video,,,,Video,,,,Video,,,,Video,,
Week,Leakage Sample,Accuracy,,Month,Leakage Sample,Accuracy,,Week,Overkill Sample,Accuracy,,Month,Overkill Sample,Accuracy,,wk,sum Leakage Sample,sum Accuracy,,month,sum Leakage Sample,sum Accuracy,,wk,sum Overkill Sample,sum Accuracy,,month,sum Overkill Sample,sum Accuracy,,Week,sum Leakage Sample,sum Accuracy,,Month,sum Leakage Sample,sum Accuracy,,Week,sum Overkill Sample,sum Accuracy,,Month,sum Overkill Sample,sum Accuracy
1,2401,2349,,1,11670,11385,,1,1298,1276,,1,6402,6278,,1,14644,14590,,1,58909,58675,,1,647,624,,1,3495,3393,,1,2402,2389,,3,24823,24708,,1,130,130,,3,969,959
2,2327,2273,,2,9304,9125,,2,1232,1225,,2,5469,5361,,2,14976,14921,,2,56929,56782,,2,692,671,,2,2162,2108,,9,638,634,,4,18690,18587,,9,26,25,,4,1544,1536
3,2380,2323,,3,12557,12299,,3,1371,1348,,3,7241,7123,,3,14481,14411,,3,69593,69326,,3,828,805,,3,4062,3970,,10,4868,4848,,5,19515,19423,,10,218,215,,5,2856,2844
4,2932,2852,,4,11018,10858,,4,1639,1595,,4,5843,5793,,4,15193,15134,,4,48436,48284,,4,1171,1139,,4,3338,3282,,11,4921,4898,,12,2402,2389,,11,191,189,,12,130,130
5,3152,3075,,5,10174,10023,,5,1681,1634,,5,5165,5116,,5,15526,15477,,5,47340,47225,,5,819,795,,5,3254,3184,,12,4906,4884,,,,,,12,165,163,,,,
6,2998,2917,,12,11005,10822,,6,1839,1793,,12,5720,5667,,6,15185,15132,,12,13421,13375,,6,798,777,,12,567,547,,13,4804,4780,,,,,,13,185,184,,,,
7,2542,2502,,,,,,7,1501,1470,,,,,,7,14267,14231,,,,,,7,490,472,,,,,,14,5064,5038,,,,,,14,213,212,,,,
8,1018,1006,,,,,,8,593,582,,,,,,8,12643,12617,,,,,,8,244,237,,,,,,15,5204,5183,,,,,,15,219,215,,,,
9,2723,2679,,,,,,9,1526,1511,,,,,,9,14138,14105,,,,,,9,614,605,,,,,,16,5179,5147,,,,,,16,305,303,,,,
10,2851,2782,,,,,,10,1667,1639,,,,,,10,14410,14342,,,,,,10,734,714,,,,,,17,4837,4808,,,,,,17,619,618,,,,
11,2946,2888,,,,,,11,1816,1789,,,,,,11,14195,14144,,,,,,11,773,743,,,,,,18,4754,4730,,,,,,18,652,650,,,,
12,2799,2731,,,,,,12,1681,1646,,,,,,12,13739,13687,,,,,,12,791,773,,,,,,19,4549,4527,,,,,,19,856,853,,,,
13,2788,2742,,,,,,13,1417,1396,,,,,,13,13493,13434,,,,,,13,923,911,,,,,,20,4590,4570,,,,,,20,709,705,,,,
14,3068,3028,,,,,,14,1684,1667,,,,,,14,13548,13503,,,,,,14,909,895,,,,,,21,4369,4349,,,,,,21,519,516,,,,
15,2770,2735,,,,,,15,1462,1451,,,,,,15,13716,13673,,,,,,15,808,790,,,,,,22,4345,4322,,,,,,22,492,491,,,,
16,2210,2172,,,,,,16,1268,1258,,,,,,16,12981,12944,,,,,,16,954,941,,,,,,,,,,,,,,,,,,,,
17,2573,2535,,,,,,17,1281,1268,,,,,,17,12535,12500,,,,,,17,948,935,,,,,,,,,,,,,,,,,,,,
18,1886,1858,,,,,,18,922,916,,,,,,18,12509,12486,,,,,,18,792,777,,,,,,,,,,,,,,,,,,,,
19,2227,2188,,,,,,19,1186,1178,,,,,,19,11222,11184,,,,,,19,783,761,,,,,,,,,,,,,,,,,,,,
20,2454,2421,,,,,,20,1238,1223,,,,,,20,11206,11179,,,,,,20,804,781,,,,,,,,,,,,,,,,,,,,
21,2603,2553,,,,,,21,1277,1263,,,,,,21,10249,10234,,,,,,21,719,709,,,,,,,,,,,,,,,,,,,,
22,2379,2356,,,,,,22,1228,1217,,,,,,22,9772,9739,,,,,,22,637,629,,,,,,,,,,,,,,,,,,,,
49,2562,2523,,,,,,49,1262,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2265,2224,,,,,,50,1119,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2337,2301,,,,,,51,1256,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2537,2499,,,,,,52,1396,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
